Country,Survey Availability,Year of the survey
Bhutan,2005 - later,2006
Switzerland,2005 - later,2010
Colombia,2005 - later,2012-13
Switzerland,1995 - 2004,2004
Honduras,2005 - later,2009
Ecuador,2005 - later,2012
Guatemala,1995 - 2004,2000
Argentina,2005 - later,2010
Panama,2005 - later,2011
United Kingdom of Great Britain and Northern Ireland,2005 - later,2005
The former Yugoslav Republic of Macedonia,1995 - 2004,2004
Kyrgyzstan,2005 - later,2015
United Kingdom of Great Britain and Northern Ireland,1995 - 2004,2000-01
The former Yugoslav Republic of Macedonia,2005 - later,2009
United States of America,1995 - 2004,2003
United States of America,1995 - 2004,2004
United States of America,2005 - later,2005
United States of America,2005 - later,2006
United States of America,2005 - later,2007
United States of America,2005 - later,2008
United States of America,2005 - later,2009
United States of America,2005 - later,2010
United States of America,2005 - later,2011
United States of America,2005 - later,2012
United States of America,2005 - later,2013
United States of America,2005 - later,2014
Colombia,2005 - later,2012
Denmark,1985 - 1994,1987
Iran,2005 - later,2008-09
Turkey,2005 - later,2014-15
Turkey,2005 - later,2006
Poland,2005 - later,2013
France,1985 - 1994,1985-86
Republic of Korea,2005 - later,2014
Uruguay,2005 - later,2013
Switzerland,2005 - later,2007
Switzerland,2005 - later,2013
United Republic of Tanzania,2005 - later,2006
United Republic of Tanzania,2005 - later,2014
Benin,1995 - 2004,1998
Argentina,2005 - later,2013
Finland,Up to 1984,1979
Switzerland,1995 - 2004,1997
Switzerland,1995 - 2004,2000
Sweden,2005 - later,2010-11
Sweden,1985 - 1994,1990-91
Sweden,1995 - 2004,2000-01
Denmark,2005 - later,2008-09
Kazakhstan,2005 - later,2012
Austria,1985 - 1994,1992
Hungary,1985 - 1994,1986-87
Belgium,Up to 1984,1966
Republic of Korea,1995 - 2004,2004
Armenia,2005 - later,2008
Norway,2005 - later,2010-11
Australia,1985 - 1994,1992
Armenia,1995 - 2004,2004
Malta,1995 - 2004,2002
State of Palestine,1995 - 2004,1999-00
Republic of Korea,1995 - 2004,1999
Poland,1995 - 2004,2003-04
Kazakhstan,2005 - later,2006
Serbia,2005 - later,2010-11
Norway,1995 - 2004,2000-01
Slovenia,1995 - 2004,2000-01
Republic of Korea,2005 - later,2009
Pakistan,2005 - later,2007
Australia,1995 - 2004,1997
Austria,2005 - later,2008-09
Australia,2005 - later,2006
Peru,2005 - later,2010
Portugal,1995 - 2004,1999
Mexico,1995 - 2004,2002
Cambodia,1995 - 2004,2003-04
Oman,1995 - 2004,1999-00
Oman,2005 - later,2007-08
Spain,2005 - later,2009-10
Spain,1995 - 2004,2002-03
Belgium,1995 - 2004,1998-00
Belgium,2005 - later,2005
Finland,1985 - 1994,1987-88
Denmark,1995 - 2004,2001
Kyrgyzstan,1995 - 2004,2000
Kyrgyzstan,2005 - later,2005
Kazakhstan,1995 - 2004,2000
Kazakhstan,1995 - 2004,2003
Norway,Up to 1984,1971-72
Norway,Up to 1984,1980-81
Norway,1985 - 1994,1990-91
Bolivia (Plurinational State of),1995 - 2004,2001
Ethiopia,2005 - later,2013
Latvia,1995 - 2004,2003
Hungary,1995 - 2004,1999-00
Italy,1995 - 2004,2002-03
Italy,2005 - later,2008-09
Mali,2005 - later,2008
Argentina,2005 - later,2005
Madagascar,1995 - 2004,2001
Lithuania,1995 - 2004,2003
Germany,1995 - 2004,2001-02
Netherlands,2005 - later,2011-12
Japan,2005 - later,2011
Canada,2005 - later,2005
Netherlands,1995 - 2004,2001
Mongolia,1995 - 2004,2000
Israel,1985 - 1994,1991-92
Morocco,2005 - later,2011-12
India,1995 - 2004,1998-99
South Africa,1995 - 2004,2000
Estonia,1995 - 2004,1999-00
Finland,2005 - later,2009-10
Japan,1995 - 2004,2001
Canada,1995 - 2004,1998
Estonia,2005 - later,2009-10
State of Palestine,2005 - later,2012-13
France,1995 - 2004,1998-99
Romania,1995 - 2004,2000
France,2005 - later,2009-10
China,2005 - later,2008
Japan,2005 - later,2006
Ghana,2005 - later,2009
New Zealand,1995 - 2004,1998-99
New Zealand,2005 - later,2009-10
Lao People's Democratic Republic,2005 - later,2007-08
Nicaragua,1995 - 2004,1998
Bulgaria,1995 - 2004,2001-02
Iraq,2005 - later,2007
Lesotho,1995 - 2004,2002-03
Mauritius,1995 - 2004,2003
Finland,1995 - 2004,1999-00
Morocco,1995 - 2004,1997-98
Malaysia,1995 - 2004,2003
Ireland,2005 - later,2005
Thailand,2005 - later,2009
Mongolia,2005 - later,2011
Costa Rica,2005 - later,2011
Algeria,2005 - later,2012
Kyrgyzstan,2005 - later,2010
Chile,2005 - later,2007-08
Costa Rica,1995 - 2004,2004
Uruguay,2005 - later,2007
Brazil,2005 - later,2012
Hungary,2005 - later,2009-10
Germany,2005 - later,2012-13
Guatemala,2005 - later,2011
Tunisia,2005 - later,2005-06
Netherlands,1995 - 2004,2003
Netherlands,2005 - later,2006
Netherlands,1995 - 2004,1999
Mexico,2005 - later,2009
Qatar,2005 - later,2012-13
Albania,2005 - later,2010-11
Canada,2005 - later,2010
Bhutan,2005 - later,2006-07
Republic of Moldova,2005 - later,2011-12
China Hong Kong Special Administrative Region,1995 - 2004,2001-02
Bulgaria,2005 - later,2009-10
Romania,2005 - later,2011-12
South Africa,2005 - later,2010
Greece,2005 - later,2013-14
Lao People's Democratic Republic,1995 - 2004,2002-03
Réunion,2005 - later,2010
Netherlands,1995 - 2004,1997
Malawi,2005 - later,2004-05
Cuba,1995 - 2004,2001
Brazil,2005 - later,2009
Azerbaijan,2005 - later,2008
Guatemala,2005 - later,2006
Thailand,1995 - 2004,2004
Thailand,1995 - 2004,2001
United Kingdom of Great Britain and Northern Ireland,1995 - 2004,2001
Bhutan,2005 - later,2007
Germany,1985 - 1994,1991-92
Austria,Up to 1984,1981
Hungary,1985 - 1994,1993
Bhutan,2005 - later,2010
Luxembourg,2005 - later,2014
Chile,1995 - 2004,1999
Latvia,Up to 1984,1972
Netherlands,Up to 1984,1975
Netherlands,Up to 1984,1980
Netherlands,1985 - 1994,1985
Latvia,1985 - 1994,1987
Netherlands,1985 - 1994,1990
Netherlands,1995 - 2004,1995
Netherlands,1995 - 2004,2000
Netherlands,2005 - later,2005
Mexico,2005 - later,2014
Hungary,Up to 1984,1976-77
Slovakia,2005 - later,2006
Ethiopia,2005 - later,2012
Dominican Republic,1995 - 2004,1995
Ecuador,2005 - later,2005
Malawi,2005 - later,2010-11
France,Up to 1984,1974-75
Italy,1985 - 1994,1988-89
Malawi,1995 - 2004,1997-98
Mexico,1995 - 2004,1998
Mexico,1995 - 2004,1996
France,Up to 1984,1966-67
Philippines,1995 - 2004,2000
Luxembourg,1995 - 2004,1996
