"","country","iso3c","year","instrument_name","instrument_type","status","source","census_round"
"1","Angola","AGO",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"2","Benin","BEN",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"3","Botswana","BWA",2025,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"4","Burkina Faso","BFA",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"5","Burundi","BDI",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"6","Cabo Verde","CPV",2025,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"7","Chad","TCD",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"8","Comoros","COM",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"9","Congo, Rep.","COG",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"10","Congo, Rep.","COG",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"11","Cote d'Ivoire","CIV",2016,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"12","Cote d'Ivoire","CIV",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"13","DR Congo","COD",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"14","Egypt","EGY",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"15","Equatorial Guinea","GNQ",2025,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"16","Eritrea","ERI",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"17","Gabon","GAB",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"18","Ghana","GHA",2019,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"19","Guinea (Conakry)","GIN",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"20","Guinea Bissau","GNB",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"21","Lesotho","LSO",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"22","Madagascar","MDG",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"23","Malawi","MWI",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"24","Mauritania","MRT",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"25","Morocco","MAR",2016,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"26","Namibia","NAM",2024,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"27","Niger","NER",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"28","Reunion (Fr)","REU",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"29","Seychelles","SYC",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"30","South Africa","ZAF",2017,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"31","South Africa","ZAF",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"32","Sudan","SDN",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"33","Tanzania, Un. Rep. of","TZA",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"34","The Gambia","GMB",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"35","Togo","TGO",2025,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"36","Tunisia","TUN",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"37","Uganda","UGA",2018,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"38","Uganda","UGA",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"39","Antigua and Barbuda","ATG",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"40","Belize","BLZ",2019,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"41","Canada","CAN",2016,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"42","Canada","CAN",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"43","Costa Rica","CRI",2025,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"44","Dominica","DMA",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"45","Dominican Republic","DOM",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"46","Grenada","GRD",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"47","Guadeloupe (Fr)","GLP",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"48","Haiti","HTI",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"49","Honduras","HND",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"50","Martinique (Fr)","MTQ",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"51","Panama","PAN",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"52","Puerto Rico (US)","PRI",2018,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"53","Puerto Rico (US)","PRI",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"54","Saint Kitts and Nevis","KNA",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"55","Saint Lucia","LCA",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"56","Saint Vincent and the Grenadines","VCT",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"57","United States of America","USA",2017,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"58","United States of America","USA",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"59","Virgin Islands (US)","VIR",2018,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"60","Virgin Islands (US)","VIR",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"61","Argentina","ARG",2019,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"62","Bolivia","BOL",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"63","Brazil","BRA",2017,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"64","Chile","CHL",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"65","Colombia","COL",2025,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"66","French Guiana","GUF",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"67","Guyana","GUY",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"68","Paraguay","PRY",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"69","Peru","PER",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"70","Suriname","SUR",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"71","Uruguay","URY",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"72","Armenia","ARM",2024,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"73","Azerbaijan","AZE",2025,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"74","Bangladesh","BGD",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"75","Bhutan","BTN",2019,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"76","Cambodia","KHM",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"77","China","CHN",2016,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"78","Cyprus","CYP",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"79","Georgia","GEO",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"80","India","IND",2016,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"81","Indonesia","IDN",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"82","Israel","ISR",2017,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"83","Japan","JPN",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"84","Jordan","JOR",2017,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"85","Korea, Republic of","KOR",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"86","Kyrgyzstan","KGZ",2024,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"87","Lao PDR","LAO",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"88","Maldives","MDV",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"89","Mongolia","MNG",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"90","Myanmar","MMR",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"91","Nepal","NPL",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"92","Occupied Palestinian Territory","PSE",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"93","Oman","OMN",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"94","Pakistan","PAK",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"95","Philippines","PHL",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"96","Qatar","QAT",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"97","Russian Federation","RUS",2016,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"98","Saudi Arabia","SAU",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"99","Sri Lanka","LKA",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"100","Thailand","THA",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"101","Timor-Leste","TLS",2019,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"102","Viet Nam","VNM",2016,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"103","Viet Nam","VNM",2025,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"104","Albania","ALB",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"105","Austria","AUT",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"106","Belgium","BEL",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"107","Belarus","BLR",2019,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"108","Bosnia and Herzegovina","BIH",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"109","Bulgaria","BGR",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"110","Croatia","HRV",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
