"","country","iso3c","year","instrument_name","instrument_type","status","source","authoring_entity","study_type","household_flag"
"1","Algeria","DZA",2022,"Good Growth Plan, 2022","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta",NA,FALSE
"2","Algeria","DZA",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"3","Argentina","ARG",2019,"Pastoralists-driven Data Management System in Argentina, 2018-2019.","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Fundación Gran Chaco, Pastoralist Knowledge Hub, Agricultural Research Centre for International Development (CIRAD)",NA,FALSE
"4","Argentina","ARG",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"5","Armenia","ARM",2018,"Integrated Living Conditions Survey 2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service of the Republic of Armenia","Integrated Survey (non-LSMS) [hh/is]",TRUE
"6","Armenia","ARM",2017,"Integrated Living Conditions Survey 2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service of the Republic of Armenia","Integrated Survey (non-LSMS) [hh/is]",TRUE
"7","Armenia","ARM",2016,"Integrated Living Conditions Survey 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service (NSS RA)","Integrated Survey (non-LSMS) [hh/is]",TRUE
"8","Armenia","ARM",2015,"Integrated Living Conditions Survey 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service","Integrated Survey (non-LSMS) [hh/is]",TRUE
"9","Armenia","ARM",2014,"Integrated Living Conditions Survey 2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service (NSS RA)","Integrated Survey (non-LSMS) [hh/is]",TRUE
"10","Armenia","ARM",2013,"Integrated Living Conditions Survey 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Statistical Service","Integrated Survey (non-LSMS) [hh/is]",TRUE
"11","Australia","AUS",2016,"Good Growth Plan, 2014-2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"12","Bangladesh","BGD",2019,"Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response – June 2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","UN High Commissioner for Refugees, IOM Needs and Population Monitoring, ACAPS, Vulnerability Analysis and Mapping, Registration, Evaluation, Authorisation and Restriction of Chemicals",NA,FALSE
"13","Bangladesh","BGD",2016,"Poverty and Groundwater Salinity Survey, 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Monica Yanez-Pagans","Other Household Survey [hh/oth]",FALSE
"14","Bangladesh","BGD",2016,"Smallholder Household Survey - CGAP, 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Jamie Anderson","Other Household Survey [hh/oth]",TRUE
"15","Bangladesh","BGD",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"16","Belgium","BEL",2017,"Good Growth Plan, 2014-2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"17","Brazil","BRA",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"18","Cambodia","KHM",2021,"Cambodia Agriculture Survey 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics (NIS), Ministry of Planning, Ministry of Agriculture, Forestry and Fisheries (MAFF)",NA,FALSE
"19","Cambodia","KHM",2019,"Cambodia Inter-Censal Agriculture Survey 2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics (NIS), Ministry of Agriculture, Forestry and Fishery (MAFF)","Agriculture Integrated Survey[hh/nhh/agris]",FALSE
"20","Cambodia","KHM",2014,"Cambodia Socio-Economic Survey 2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics","Socio-Economic/Monitoring Survey [hh/sems]",TRUE
"21","Cambodia","KHM",2013,"Cambodia Socio-Economic Survey 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics","Socio-Economic/Monitoring Survey [hh/sems]",TRUE
"22","Cameroon","CMR",2013,"General Livestock and Aquaculture Census, 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics",NA,FALSE
"23","Chad","TCD",2021,"High Frequency Phone Survey 2020-2021","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics, Economic and Demographic Studies (INSEED)",NA,FALSE
"24","China","CHN",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"25","Colombia","COL",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"26","Costa Rica","CRI",2016,"Good Growth Plan, 2014-2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"27","Côte d'Ivoire","CIV",2022,"Good Growth Plan, 2022","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta",NA,FALSE
"28","Côte d'Ivoire","CIV",2019,"Harmonized Survey on Households Living Standards 2018-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Institut National de la Statistique (INS)",NA,TRUE
"29","Côte d'Ivoire","CIV",2016,"Smallholder Household Survey - CGAP, 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Jamie Anderson","Other Household Survey [hh/oth]",TRUE
