"","idno","formid","form_model","title","nation","year_start","year_end","repositoryid","created","changed","varcount","total_views","authoring_entity","total_downloads","rank","type","id","url","link_da","thumbnail","iso3c","status","source","study_type","meta_data_field","year"
"1","ZAF_2021_QLFS-Q1_v01_M",5,"remote","Quarterly Labour Force Survey 2021, Quarter 1","South Africa",2021,2021,"central","2022-01-03T15:27:36+00:00","2022-01-03T16:43:52+00:00",161,277,"Statistics South Africa",9,1,"survey",9937,"https://catalog.ihsn.org/catalog/9937",NA,NA,"ZAF","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"2","ATG_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Antigua and Barbuda",2021,2021,"central","2022-09-07T14:24:39+00:00","2022-09-07T14:24:39+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10368,"https://catalog.ihsn.org/catalog/10368","https://microdata.worldbank.org/index.php/catalog/4571",NA,"ATG","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"3","ARG_2021_HFS-Q1Q2_v01_M",5,"remote","High Frequency Survey 2021, Quarter 1 and 2","Argentina",2021,2021,"central","2022-05-03T12:46:00+00:00","2022-05-05T18:45:52+00:00",485,515,"UN Refugee Agency (UNHCR)",0,1,"survey",10226,"https://catalog.ihsn.org/catalog/10226",NA,NA,"ARG","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"4","ARG_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Argentina",2021,2021,"central","2022-09-07T13:54:15+00:00","2022-09-07T14:11:27+00:00",283,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10366,"https://catalog.ihsn.org/catalog/10366","https://microdata.worldbank.org/index.php/catalog/4558",NA,"ARG","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"5","BLZ_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Belize",2021,2021,"central","2022-09-07T14:28:29+00:00","2022-09-07T14:28:29+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10370,"https://catalog.ihsn.org/catalog/10370","https://microdata.worldbank.org/index.php/catalog/4572",NA,"BLZ","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"6","BOL_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Bolivia",2021,2021,"central","2022-09-07T14:30:45+00:00","2022-09-07T14:30:45+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10371,"https://catalog.ihsn.org/catalog/10371","https://microdata.worldbank.org/index.php/catalog/4559",NA,"BOL","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"7","BIH_2021_ES-COVID19-R1_v01_M",5,"remote","Enterprise Survey Follow-up on COVID-19 2021, Round 1","Bosnia-Herzegovina",2021,2021,"central","2022-05-11T13:43:45+00:00","2022-05-11T13:43:45+00:00",90,111,"World Bank Group",4,1,"survey",10256,"https://catalog.ihsn.org/catalog/10256",NA,NA,"BIH","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"8","BRA_2021_HFS-Q1Q2_v01_M",5,"remote","High Frequency Survey 2021, Quarter 1 and 2","Brazil",2021,2021,"central","2022-05-03T12:46:03+00:00","2022-05-05T18:51:22+00:00",485,517,"UN Refugee Agency (UNHCR)",0,1,"survey",10228,"https://catalog.ihsn.org/catalog/10228",NA,NA,"BRA","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"9","CHL_2021_HFS-Q1Q2_v01_M",5,"remote","High Frequency Survey 2021, Quarter 1 and 2","Chile",2021,2021,"central","2022-05-03T12:46:05+00:00","2022-05-05T18:51:25+00:00",485,526,"UN Refugee Agency (UNHCR)",0,1,"survey",10230,"https://catalog.ihsn.org/catalog/10230",NA,NA,"CHL","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"10","CHL_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Chile",2021,2021,"central","2022-09-07T14:32:57+00:00","2022-09-07T14:32:57+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10372,"https://catalog.ihsn.org/catalog/10372","https://microdata.worldbank.org/index.php/catalog/4560",NA,"CHL","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
