country,iso3c,year,status,instrument_name,instrument_type,source
Aruba,ABW,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Aruba,ABW,2014,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Aruba,ABW,2020,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Afghanistan,AFG,2010,Completed,OTH,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Afghanistan,AFG,2011,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Afghanistan,AFG,2015,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Afghanistan,AFG,2020,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Afghanistan,AFG,2020,Completed,TUS 2020 (https://www2.unwomen.org/-/media/field%20office%20eseasia/docs/publications/2020/05/timeusesurveymay2020.pdf?la=en&vs=3719),Time Use Survey,https://unstats.un.org/unsd/gender/timeuse and manual ODW check of NSO websites
Angola,AGO,2010,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Angola,AGO,2011,Completed,MIS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Angola,AGO,2014,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Angola,AGO,2015,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Anguilla,AIA,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Albania,ALB,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Albania,ALB,2012,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Albania,ALB,2012,completed,Living Standards Measurement Survey 2012,HIES,https://microdata.worldbank.org/index.php/catalog/lsms
Albania,ALB,2017,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Andorra,AND,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Netherland Antilles,ANT,2013,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
United Arab Emirates,ARE,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
