"","country","iso3c","year","status","instrument_name","instrument_type","source","census_round"
"1","Afghanistan","AFG",2015,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"2","Albania","ALB",2017,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"3","Angola","AGO",2015,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"4","Armenia","ARM",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"5","Bangladesh","BGD",2014,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"6","Bangladesh","BGD",2017,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"7","Bangladesh","BGD",2022,"Ongoing","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"8","Benin","BEN",2017,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"9","Burkina Faso","BFA",2014,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"10","Burkina Faso","BFA",2017,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"11","Burkina Faso","BFA",2021,"Ongoing","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"12","Burundi","BDI",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"13","Cambodia","KHM",2014,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"14","Cambodia","KHM",2021,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"15","Cameroon","CMR",2018,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"16","Cameroon","CMR",2022,"Ongoing","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"17","Chad","TCD",2014,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"18","Colombia","COL",2015,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"19","Congo - Kinshasa","COD",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"20","Côte d’Ivoire","CIV",2021,"Ongoing","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"21","Dominican Republic","DOM",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"22","Egypt","EGY",2014,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"23","Egypt","EGY",2015,"Completed","OTH","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"24","Ethiopia","ETH",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"25","Ethiopia","ETH",2019,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"26","Gabon","GAB",2019,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"27","Gambia","GMB",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"28","Gambia","GMB",2019,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"29","Ghana","GHA",2014,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"30","Ghana","GHA",2016,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"31","Ghana","GHA",2017,"Completed","OTH","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"32","Ghana","GHA",2019,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"33","Ghana","GHA",2022,"Ongoing","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"34","Guatemala","GTM",2015,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"35","Guinea","GIN",2016,"Completed","OTH","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"36","Guinea","GIN",2018,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"37","Guinea","GIN",2021,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"38","Haiti","HTI",2013,"Completed","OTH","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"39","Haiti","HTI",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"40","India","IND",2015,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"41","India","IND",2020,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"42","Indonesia","IDN",2017,"Completed","OTH","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"43","Indonesia","IDN",2017,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"44","Jordan","JOR",2017,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"45","Kenya","KEN",2014,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"46","Kenya","KEN",2015,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"47","Kenya","KEN",2020,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"48","Kenya","KEN",2022,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"49","Lesotho","LSO",2014,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"50","Liberia","LBR",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"51","Liberia","LBR",2016,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"52","Liberia","LBR",2019,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"53","Liberia","LBR",2022,"Ongoing","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"54","Madagascar","MDG",2013,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"55","Madagascar","MDG",2016,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"56","Madagascar","MDG",2021,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"57","Malawi","MWI",2014,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"58","Malawi","MWI",2015,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"59","Malawi","MWI",2017,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"60","Maldives","MDV",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"61","Mali","MLI",2015,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
