"","data_kind","study_type","n"
"1","--","Other Household Survey",1
"2","--",NA,1
"3","Administrative records data [adm]","1-2-3 Survey, phase 1 [hh/123-1]",1
"4","Administrative records data [adm]","Administrative Records, Construction Statistics (ad/oth]",2
"5","Administrative records data [adm]","Administrative Records, Health (ad/hea]",17
"6","Administrative records data [adm]","Education/School Survey [ed/sch]",1
"7","Administrative records data [adm]","Enterprise Census [en/census]",1
"8","Administrative records data [adm]","Income/Expenditure/Household Survey [hh/ies]",1
"9","Administrative records data [adm]","Integrated Survey (non-LSMS) [hh/is]",1
"10","Administrative records data [adm]",NA,2
"11","Aggregate data [agg]","Enterprise Survey [en/oth]",1
"12","Aggregate data [agg]","Macroeconomics - Indicators",16
"13","Aggregate data [agg]","Other Household Survey [hh/oth]",3
"14","Aggregate data [agg]",NA,8
"15","Censos (cen)","Censo",1
"16","Censos (cen)","Censo de Población y Habitación [hh/popcen]",1
"17","Censos (cen)","Censo de Población y Vivienda",1
"18","Censos (cen)","Enterprise Census [en/census]",14
"19","Censos (cen)","Enterprise Survey [en/oth]",10
"20","Censos (cen)","Population and Housing Census [hh/popcen]",1
"21","Census/enumeration data","Population and Housing Census [hh/popcen]",16
"22","Census/enumeration data","Socio-Economic/Monitoring Survey [hh/sems]",1
"23","Census/enumeration data",NA,1
"24","Census/enumeration data [cen]","1-2-3 Survey, phase 1 [hh/123-1]",1
"25","Census/enumeration data [cen]","Administrative Records, Health (ad/hea]",1
"26","Census/enumeration data [cen]","Agricultural Census [ag/census]",51
"27","Census/enumeration data [cen]","Agricultural Survey [ag/oth]",1
"28","Census/enumeration data [cen]","Censo Ambiental",1
"29","Census/enumeration data [cen]","Censo de la Gestión, Gasto e Inversión en Protección Ambiental en Municipios y Consejos Provinciales",1
"30","Census/enumeration data [cen]","Education School Census",1
"31","Census/enumeration data [cen]","Enterprise Census [en/census]",38
"32","Census/enumeration data [cen]","Enterprise Survey [en/oth]",11
"33","Census/enumeration data [cen]","Enterprise/Establishment Census [en/census]",3
"34","Census/enumeration data [cen]","Environmental Census",1
"35","Census/enumeration data [cen]","Income/Expenditure/Household Survey [hh/ies]",2
"36","Census/enumeration data [cen]","Other Household Health Survey [hh/hea]",1
"37","Census/enumeration data [cen]","Other Household Survey [hh/oth]",17
"38","Census/enumeration data [cen]","Population and Housing Census [hh/popcen]",259
"39","Census/enumeration data [cen]","Sample Frame, Enterprises [sf/en]",1
"40","Census/enumeration data [cen]","Service Provision Assessments [hh/spa]",1
"41","Census/enumeration data [cen]","Socio-Economic/Monitoring Survey [hh/sems]",1
"42","Census/enumeration data [cen]","Statistical Info. & Monitoring Prog. [hh/simpoc]",1
"43","Census/enumeration data [cen]",NA,1
"44","Clinical data [cli]","1-2-3 Survey, phase 1",1
"45","Clinical data [cli]","Clinical Trial",1
"46","Clinical data [cli]","Other Household Health Survey",1
"47","Clinical data [cli]","Sample Frame, Households [sf/hh]",1
"48","Clinical data [cli]","Service Availability Mapping",1
"49","Clinical data [cli]",NA,1
"50","Dados de inquérito por amostragem [ssd]","Agricultural Survey [ag/oth]",1
"51","Dados de inquérito por amostragem [ssd]","Core Welfare Indicators Questionnaire [hh/cwiq]",1
"52","Datos obtenidos por un proceso (pro)","Estudio de medición de las condiciones de vida [hh/lsms]",1
"53","Demographic and Household Survey [hh/dhs]","Demographic and Health Survey [hh/dhs]",97
"54","Données échantillonées [ssd]","1-2-3 Survey, phase 1 [hh/123-1]",1
"55","Données échantillonées [ssd]","Autres enquêtes ménages [hh/oth]",3
