id_ilo,id_lsms,country,year,instrument_name_ilo,instrument_name_lsms,instrument_type_ilo,instrument_type_lsms,authoring_entity_ilo,authoring_entity_lsms,country_yr_match,name diff from LSMS data?,authoring entity diff from LSMS data?,notes,possible_duplicate,LN,final_duplicate_flag
7920,4807,Afghanistan,2017,Living Condition Survey 2017,Food Insecurity Experience Scale 2017,HIES,HIES,National Statistics and Information Authority,FAO Statistics Division,1,yes,yes,NA,NA,,0
7921,4810,Afghanistan,2014,Living Condition Survey 2014,Food Insecurity Experience Scale 2014,HIES,HIES,National Statistics and Information Authority,FAO Statistics Division,1,yes,yes,NA,NA,,0
6536,4822,Armenia,2017,Households' Integrated Living Conditions Survey 2017,Food Insecurity Experience Scale 2017,HIES,HIES,National Statistical Service (NSS),FAO Statistics Division,1,yes,yes,NA,NA,,0
6537,4823,Armenia,2016,Households' Integrated Living Conditions Survey 2016,Food Insecurity Experience Scale 2016,HIES,HIES,National Statistical Service (NSS),FAO Statistics Division,1,yes,yes,NA,NA,,0
6539,4824,Armenia,2014,Households' Integrated Living Conditions Survey 2014,Food Insecurity Experience Scale 2014,HIES,HIES,National Statistical Service (NSS),FAO Statistics Division,1,yes,yes,NA,NA,,0
7881,5581,Australia,2020,"Household, Income and Labour Dynamics 2020",Food Insecurity Experience Scale 2020,HIES,HIES,Australian Bureau of Statistics (ABS),FAO Statistics Division,1,yes,yes,NA,NA,,0
7884,4825,Australia,2017,"Household, Income and Labour Dynamics 2017",Food Insecurity Experience Scale 2017,HIES,HIES,Australian Bureau of Statistics (ABS),FAO Statistics Division,1,yes,yes,NA,NA,,0
7885,4826,Australia,2016,"Household, Income and Labour Dynamics 2016",Food Insecurity Experience Scale 2016,HIES,HIES,Australian Bureau of Statistics (ABS),FAO Statistics Division,1,yes,yes,NA,NA,,0
7886,4827,Australia,2015,"Household, Income and Labour Dynamics 2015",Food Insecurity Experience Scale 2015,HIES,HIES,Australian Bureau of Statistics (ABS),FAO Statistics Division,1,yes,yes,NA,NA,,0
7958,4828,Australia,2014,"Household, Income and Labour Dynamics 2014",Food Insecurity Experience Scale 2014,HIES,HIES,Australian Bureau of Statistics (ABS),FAO Statistics Division,1,yes,yes,NA,NA,,0
7333,4291,Benin,2018,Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages 2018,Enquête Harmonisée sur le Conditions de Vie des Ménages 2018-2019,HIES,HIES,Institut National de la Statistique et de l?Analyse Economique,Institut National de la Statistique et de l’Analyse Économique (INSAE),1,very similar names,no,likely a duplicate,yes,yes,1
8027,4559,Bolivia,2021,Encuesta de Hogares 2021,"COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1",HIES,HIES,Instituto Nacional de Estatistica (INE),"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",1,yes,yes,NA,NA,,0
8027,4752,Bolivia,2021,Encuesta de Hogares 2021,"COVID-19 LAC High Frequency Phone Surveys 2021, Wave 2",HIES,HIES,Instituto Nacional de Estatistica (INE),"Gabriel Lara Ibarra, Carolina Mejia-Mantilla, Adriana Camacho, Javier Romero",1,yes,yes,NA,NA,,0
7836,4049,Bolivia,2020,Encuesta de Hogares 2020,COVID-19 High Frequency Phone Surveys 2020,HIES,HIES,Instituto Nacional de Estatistica (INE),"Sergio Olivieri, Gabriel Lara Ibarra, Jose Antonio Cuesta Leiva",1,yes,yes,NA,NA,,0
7643,4854,Cambodia,2017,Household Socio-Economic Survey 2017,Food Insecurity Experience Scale 2017,HIES,HIES,National Institute of Statistics (NIS),FAO Statistics Division,1,yes,yes,NA,NA,,0
7644,4855,Cambodia,2016,Household Socio-Economic Survey 2016,Food Insecurity Experience Scale 2016,HIES,HIES,National Institute of Statistics (NIS),FAO Statistics Division,1,yes,yes,NA,NA,,0
7645,4856,Cambodia,2015,Household Socio-Economic Survey 2015,Food Insecurity Experience Scale 2015,HIES,HIES,National Institute of Statistics (NIS),FAO Statistics Division,1,yes,yes,NA,NA,,0
7646,4857,Cambodia,2014,Household Socio-Economic Survey 2014,Food Insecurity Experience Scale 2014,HIES,HIES,National Institute of Statistics (NIS),FAO Statistics Division,1,yes,yes,NA,NA,,0
7135,3984,Ghana,2017,Living Standards Survey 2017,Livelihoods Programme Monitoring Beneficiary Survey in 2017,HIES,HIES,Ghana Statistical Service,United Nations High Commissioner for Refugees,1,yes,yes,survey exists in LSMS but only for 1987-2005,NA,,0
7101,4927,Guatemala,2014,Encuesta Nacional sobre Condiciones de Vida 2014,Food Insecurity Experience Scale 2014,HIES,HIES,Instituto Nacional de Estadistica (INE),FAO Statistics Division,1,yes,yes,survey exists in LSMS but only for 2000,NA,,0
7698,4293,Guinea-Bissau,2018,Enquête Harmonisée sur les Conditions de Vie des Ménages 2018,Inquérito Harmonizado sobre as Condiçöes de vide dos Agreagados Familiares 2018-2019,HIES,HIES,Instituto Nacional de Estatistica e Censos (INEC),Instituto Nacional de Estatística (INE),1,very similar names,no,likely a duplicate,yes,yes,1
6956,4983,Liberia,2014,Household Income and Expenditure Survey 2014,Food Insecurity Experience Scale 2014,HIES,HIES,Liberia Institute for Statistics & Geo-Information Services,FAO Statistics Division,1,yes,yes,NA,NA,,NA
