data_kind,study_type,unit_of_analysis,universe,keep,rationale,instrument_type
--,Other Household Survey,NA,NA,NA,,
Encuesta probabilística en hogares,Other Household Health Survey [hh/hea],"El hogar, la vivienda y los integrantes del hogar",El módulo está dirigido a los hogares de las viviendas particulares habitadas del territorio nacional.,Yes,Household and health,Household health survey
Event/Transaction data [evn],Other Household Survey,"The main unit for data collection for transactions was the household. However, each income source and financial instrument was ascribed to a specific household member during the initial questionnaire. Thus all transactions associated with that instrument or income source are registered under its owner. Similarly, transactions related to expenses were individually attributed to the member who initiated the respective transaction. 

There was a small number of cash flows where the interviewer was not able to unambiguously identify the initiating household member. In these cases, the cash flow was recorded as belonging to the entire household (in the dataset the member ID field would be blank).

Analysis can be performed at two different levels of aggregation:
a) The household itself
b) Individual household members

In our study the household is defined as including those who consistently share financial resources, live together, share the same cooking arrangement, and report to the same household head. This includes babies, children, people who travel for work or school during the week and consider the household to be their main residence. However, the definition does not include people who are currently spending an extended period of time away from the household, including college students, students away at boarding school, military personnel, people in prison, or people who live in the house but maintain completely separate expenses (e.g. roommates, other families).","Once the villages for the Smallholder Diaries were selected, the research teams used a screening process to help identify a range of families with 5 acres of land or less, diverse income sources, access to agricultural inputs, wealth levels, and crops to participate in the research. 

In Mozambique, these eligible households were identified using a participatory rural appraisal wealth-ranking technique. Working with committees of village representatives, the research teams conducted wealth-ranking exercises to assess the relative wealth of households in village hamlets or subareas.",Yes,Household and expenditures,Household income/expenditure survey
Event/Transaction data [evn],Other Household Survey,"The main unit for data collection for transactions was the household. However, each income source and financial instrument was ascribed to a specific household member during the initial questionnaire. Thus all transactions associated with that instrument or income source are registered under its owner. Similarly, transactions related to expenses were individually attributed to the member who initiated the respective transaction. 

There was a small number of cash flows where the interviewer was not able to unambiguously identify the initiating household member. In these cases, the cash flow was recorded as belonging to the entire household (in the dataset the member ID field would be blank).

Analysis can be performed at two different levels of aggregation:
a) The household itself
b) Individual household members

In our study the household is defined as including those who consistently share financial resources, live together, share the same cooking arrangement, and report to the same household head. This includes babies, children, people who travel for work or school during the week and consider the household to be their main residence. However, the definition does not include people who are currently spending an extended period of time away from the household, including college students, students away at boarding school, military personnel, people in prison, or people who live in the house but maintain completely separate expenses (e.g. roommates, other families).","Once the villages for the Smallholder Diaries were selected, the research teams used a screening process to help identify a range of families with 5 acres of land or less, diverse income sources, access to agricultural inputs, wealth levels, and crops to participate in the research. 

In Pakistan, the sample was selected using a traditional screener survey with questions related to household demographics, crops and livestock, main income sources, and wealth indicators, administered to all households in the selected villages. As a supplement to this process, village leaders and community representatives were consulted to help ensure local participation and eliminate households with large landholdings.",Yes,Household and expenditures,Household income/expenditure survey
Event/Transaction data [evn],Other Household Survey,"The main unit for data collection for transactions was the household. However, each income source and financial instrument was ascribed to a specific household member during the initial questionnaire. Thus all transactions associated with that instrument or income source are registered under its owner. Similarly, transactions related to expenses were individually attributed to the member who initiated the respective transaction. 

There was a small number of cash flows where the interviewer was not able to unambiguously identify the initiating household member. In these cases, the cash flow was recorded as belonging to the entire household (in the dataset the member ID field would be blank).

Analysis can be performed at two different levels of aggregation:
a) The household itself
b) Individual household members

In our study the household is defined as including those who consistently share financial resources, live together, share the same cooking arrangement, and report to the same household head. This includes babies, children, people who travel for work or school during the week and consider the household to be their main residence. However, the definition does not include people who are currently spending an extended period of time away from the household, including college students, students away at boarding school, military personnel, people in prison, or people who live in the house but maintain completely separate expenses (e.g. roommates, other families).","Once the villages for the Smallholder Diaries were selected, the research teams used a screening process to help identify a range of families with 5 acres of land or less, diverse income sources, access to agricultural inputs, wealth levels, and crops to participate in the research. 

In Tanzania, these eligible households were identified using a participatory rural appraisal wealth-ranking technique. Working with committees of village representatives, the research teams conducted wealth-ranking exercises to assess the relative wealth of households in village hamlets or subareas.",Yes,Household and expenditures,Household income/expenditure survey
Event/transaction data [evn],Other Household Survey [hh/oth],Household,NA,NA,,
Event/transaction data [evn],Other Household Survey [hh/oth],Individual,All persons of concern to UNHCR including Refugees.,No,UNHCR survey,
Event/transaction data [evn],Other Household Survey [hh/oth],Household and member,NA,NA,,
Event/transaction data [evn],"Sample Frame, Households [sf/hh]",Individual,Nigerian Refugees,No,Limited sample,
Event/transaction data [evn],Other Household Survey [hh/oth],Group and member,NA,NA,,
NA,NA,"Individuals
Households",The study population consists of individuals included in the lists of enrolled beneficiaries covered by Give Directly for the COVID-19 CT.,NA,,
NA,NA,Household,NA,NA,,
NA,Other Household Survey [hh/oth],"- Households
- Individuals",NA,NA,,
NA,NA,NA,NA,NA,,
NA,NA,"- recent college graduates;
- enterprises seeking to hire new employees.",NA,No,Limited sample,
NA,NA,Resident enterprises in Kenya with foreign assets and liabilities.,NA,No,enterprise survey,
NA,Other Household Survey [hh/oth],"The basic unit of analysis is at the household level. However, some datasets contain individual level data, whilst some data is collected at the community level.","The quantitative survey was implemented in 398 clusters across 48 sub-counties in eight programme districts (Apac, Kaberamaido, Katakwi, Kiboga, Kyenjojo, Moroto, Nakapiripirit and Nebbi). The two targeting mechanisms (SCG and VFSG) were randomly assigned evenly between the 48 sub-counties, with the exception of the Karamoja region in which only the SCG targeting mechanism was employed. The SAGE programme implemented the targeting process in evaluation areas where selected recipients received the transfer, but only after they were surveyed at baseline by the evaluation teams.

The households in the evaluation areas that were selected for the programme are referred to as the treatment group. The comparison households that were selected were those households that fell just shy of the selection thresholds. For SCG the threshold is 65 years of age, dropping to 60 years of age in the Karamoja region. For VFSG eligibility depends on a household's labour capacity and dependency (LCD) score, with the threshold score for eligibility varying by region. Households who fell just below the relevant SCG/VFSG threshold are referred to as the comparison group.",No,Impact evaluation,
NA,NA,Stakeholders of the World Bank Group in Kazakhstan,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Angola,NA,No,Relevant only to World Bank,
NA,NA,NA,"Opinion leaders from national and local governments, multilateral/bilateral agencies, media, academia, the private sector, and civil society.",No,opinion survey,
NA,NA,Stakeholders of the World Bank Group in Benin,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Bulgaria,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Burundi,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in the Republic of Cabo Verde.,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Chad,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Chile,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Croatia,NA,No,Relevant only to World Bank,
