id,idno,instrument_name,universe,unit_of_analysis,data_kind,authoring_entity_detail,study_type,study_scope,source
7933,SEN_2016_L2SMCV_v01_M,A l’écoute du Sénégal 2016,L'enquête couvre l'ensemble des ménages du territoire national.,Ménages et individus.,Sample survey data [ssd],"Agence Nationale de la Statistique et de la Démographie (ANSD) (Ministère de l'Economie, des Finances et du Plan)",Socio-Economic/Monitoring Survey [hh/sems],"Les sujets abordés se résument comme suit: 
- Les caractéristiques du ménage;
- Les dépenses non-alimentaires du ménage;
- L'accès aux endroits/services;
- Les transports et routes;
- L'accessibilité de l'électricité;
- Le revenu du ménage.",https://catalog.ihsn.org/catalog/7933
10297,NER_2017-2020_ASPIE_v01_M,"Adaptive Safety Nets Program 2017-2020, Baseline, Midline and Endline Impact Evaluation Surveys","Only households that are beneficiaries of the national cash transfer, located in communes and villages mentioned above",Households as well as individuals within households.,Sample survey data [ssd],Patrick Premand (World Bank),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/10297
6709,RWA_2012-2014_AGIE_v01_M,Adolescent Girls Initiative (AGI) Evaluation 2012-2014,NA,- individuals,Sample survey data [ssd],"Shubha Chakravarty (The World Bank - Africa Gender Innovation Lab), Sarah Haddock (The World Bank)",NA,"The scope of the study includes:
- Employment
- Earnings
- Economics assets
- Social assets
- Empowerment
- Children well-being",https://catalog.ihsn.org/catalog/6709
9803,UGA_2016_AFB-R7_v01_M,"Afrobarometer Survey 2016, Round 7","Citizens age 18 years or older, excluding institutions",Individual,Sample survey data [ssd],"Ghana Centre for Democratic Development (CDD), Institute for Justice and Reconciliation in South Africa (IJR), Institute for Empirical Research in Political Economy (IREEP), Institute for Development Studies (IDS), Michigan State University (MSU), University of Cape Town (UCT, South Africa)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9803
9700,KEN_2016_AFB-R7_v01_M,"Afrobarometer Survey 2016, Round 7",Citizens of Kenya who are 18 years or older,Individual,Sample survey data [ssd],"Ghana Centre for Democratic Development (CDD), Institute for Justice and Reconciliation in South Africa (IJR), Institute for Empirical Research in Political Economy (IREEP), Institute for Development Studies (IDS), Michigan State University (MSU), University of Cape Town (UCT, South Africa)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9700
9792,TGO_2017_AFB-R7_v01_M,"Afrobarometer Survey 2017, Round 7",Citizens aged 18 years and above excluding those living in institutionalized buildings.,Individual,Sample survey data [ssd],"Ghana Centre for Democratic Development (CDD), Institute for Justice and Reconciliation in South Africa (IJR), Institute for Empirical Research in Political Economy (IREEP), Institute for Development Studies (IDS), Michigan State University (MSU), University of Cape Town (UCT, South Africa)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9792
9761,NGA_2017_AFB-R7_v01_M,"Afrobarometer Survey 2017, Round 7",Citizens of Nigeria who are 18 years and older,Individual,Sample survey data [ssd],"Ghana Centre for Democratic Development (CDD), Institute for Justice and Reconciliation in South Africa (IJR), Institute for Empirical Research in Political Economy (IREEP), Institute for Development Studies (IDS), Michigan State University (MSU), University of Cape Town (UCT, South Africa)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9761
9748,MUS_2017_AFB-R7_v01_M,"Afrobarometer Survey 2017, Round 7",Citizens of the Republic of Mauritius who are 18 years and older,Individual,Sample survey data [ssd],"Ghana Centre for Democratic Development (CDD), Institute for Justice and Reconciliation in South Africa (IJR), Institute for Empirical Research in Political Economy (IREEP), Institute for Development Studies (IDS), Michigan State University (MSU), University of Cape Town (UCT, South Africa)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9748
9611,BFA_2017_AFB-R7_v01_M,"Afrobarometer Survey 2017, Round 7",Citizens who are 18 years and older.,Individual,Sample survey data [ssd],"Ghana Centre for Democratic Development (CDD), Institute for Justice and Reconciliation in South Africa (IJR), Institute for Empirical Research in Political Economy (IREEP), Institute for Development Studies (IDS), Michigan State University (MSU), University of Cape Town (UCT, South Africa)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9611
9794,TUN_2018_AFB-R7_v01_M,"Afrobarometer Survey 2018, Round 7","Citizens of Tunisia who are 18 years and older, excluding institutions",Individual,Sample survey data [ssd],"Ghana Centre for Democratic Development (CDD), Institute for Justice and Reconciliation in South Africa (IJR), Institute for Empirical Research in Political Economy (IREEP), Institute for Development Studies (IDS), Michigan State University (MSU), University of Cape Town (UCT, South Africa)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9794
