country,country_code,indicator_name,number_of_surveys,percent_complete,standard
Afghanistan,AFG,Agricultural Survey/Census,3,100,2
Afghanistan,AFG,Household Health Survey,2,50,4
Afghanistan,AFG,Household Income and Expenditure Survey,3,100,2
Afghanistan,AFG,Labour Force Survey,2,20,10
Afghanistan,AFG,Time Use Survey,1,50,2
Africa,,Agricultural Survey/Census,3,100,2
Africa,,Household Health Survey,3,75,4
Africa,,Household Income and Expenditure Survey,3,100,2
Africa,,Labour Force Survey,3,30,10
Africa,,Time Use Survey,0,0,2
Albania,ALB,Agricultural Survey/Census,2,100,2
Albania,ALB,Household Health Survey,1,25,4
Albania,ALB,Household Income and Expenditure Survey,3,100,2
Albania,ALB,Labour Force Survey,10,100,10
Albania,ALB,Time Use Survey,0,0,2
Algeria,DZA,Agricultural Survey/Census,0,0,2
Algeria,DZA,Household Health Survey,3,75,4
Algeria,DZA,Household Income and Expenditure Survey,0,0,2
Algeria,DZA,Labour Force Survey,1,10,10
Algeria,DZA,Time Use Survey,0,0,2
Americas,,Agricultural Survey/Census,2,100,2
Americas,,Household Health Survey,1,25,4
Americas,,Household Income and Expenditure Survey,2,100,2
Americas,,Labour Force Survey,5,50,10
Americas,,Time Use Survey,1,50,2
Angola,AGO,Agricultural Survey/Census,1,50,2
Angola,AGO,Household Health Survey,2,50,4
Angola,AGO,Household Income and Expenditure Survey,2,100,2
Angola,AGO,Labour Force Survey,4,40,10
Angola,AGO,Time Use Survey,0,0,2
Antigua & Barbuda,ATG,Agricultural Survey/Census,2,100,2
Antigua & Barbuda,ATG,Household Health Survey,0,0,4
Antigua & Barbuda,ATG,Household Income and Expenditure Survey,1,50,2
Antigua & Barbuda,ATG,Labour Force Survey,2,20,10
Antigua & Barbuda,ATG,Time Use Survey,0,0,2
Argentina,ARG,Agricultural Survey/Census,3,100,2
Argentina,ARG,Household Health Survey,1,25,4
Argentina,ARG,Household Income and Expenditure Survey,2,100,2
Argentina,ARG,Labour Force Survey,10,100,10
Argentina,ARG,Time Use Survey,1,50,2
Armenia,ARM,Agricultural Survey/Census,3,100,2
Armenia,ARM,Household Health Survey,1,25,4
Armenia,ARM,Household Income and Expenditure Survey,10,100,2
Armenia,ARM,Labour Force Survey,10,100,10
Armenia,ARM,Time Use Survey,2,100,2
